sku,id,brand,model,name,description,price_eur,image_url
1001,55001,Nike,AirMax1,Nike Air Max 1,"Classic running shoe, cushioned sole",110,"http://example.com/images/airmax1.jpg"
1002,55002,Apple,iPhone12,Apple iPhone 12,"5G smartphone, A14 Bionic chip",900,"http://example.com/images/iphone12.jpg"
1003,55003,Samsung,GalaxyS21,Samsung Galaxy S21,"Android phone, high-resolution camera",800,"http://example.com/images/galaxys21.jpg"
1004,55004,Canon,EOSR5,Canon EOS R5,"Mirrorless camera, 45MP sensor",4200,"http://example.com/images/eosr5.jpg"
1005,55005,Adidas,UltraBoost,Adidas UltraBoost,"Running shoe, responsive cushioning",140,"http://example.com/images/ultraboost.jpg"
1006,55006,Sony,WH1000XM4,Sony WH-1000XM4,"Noise-canceling headphones",350,"http://example.com/images/wh1000xm4.jpg"
1007,55007,LEGO,StarWarsSet,LEGO Star Wars,"Millennium Falcon model, 1351 pieces",150,"http://example.com/images/legostarwars.jpg"
1008,55008,Microsoft,SurfacePro7,Microsoft Surface Pro 7,"2-in-1 laptop, 10th Gen Intel",999,"http://example.com/images/surfacepro7.jpg"
1009,55009,Bose,SoundLink,Bose SoundLink,"Portable Bluetooth speaker",199,"http://example.com/images/soundlink.jpg"
1010,55010,Dell,XPS13,Dell XPS 13,"Ultrabook, InfinityEdge display",1200,"http://example.com/images/xps13.jpg"
1011,55011,Ray-Ban,Aviator,Ray-Ban Aviator,"Classic sunglasses, UV protection",145,"http://example.com/images/aviator.jpg"
1012,55012,KitchenAid,Artisan,KitchenAid Artisan,"Stand mixer, 5-quart",499,"http://example.com/images/artisan.jpg"
1013,55013,GoPro,HERO9,GoPro HERO9,"Action camera, 5K video",429,"http://example.com/images/hero9.jpg"
1014,55014,Panasonic,LumixG9,Panasonic Lumix G9,"Mirrorless camera, 4K video",999,"http://example.com/images/lumixg9.jpg"
1015,55015,Philips,HueBulb,Philips Hue,"Smart light bulb, RGB",49,"http://example.com/images/huebulb.jpg"
1016,55016,Rolex,Submariner,Rolex Submariner,"Luxury watch, water-resistant",10500,"http://example.com/images/submariner.jpg"
1017,55017,Tesla,Model3,Tesla Model 3,"Electric car, autopilot feature",35000,"http://example.com/images/model3.jpg"
1018,55018,Nintendo,Switch,Nintendo Switch,"Hybrid game console",299,"http://example.com/images/switch.jpg"
1019,55019,Patagonia,DownSweater,Patagonia Down Sweater,"Lightweight jacket, recycled materials",229,"http://example.com/images/downsweater.jpg"
1020,55020,Fitbit,Versa3,Fitbit Versa 3,"Fitness smartwatch, heart rate monitor",229,"http://example.com/images/versa3.jpg"
